,LoanID,Age,Income,LoanAmount,CreditScore,MonthsEmployed,NumCreditLines,InterestRate,LoanTerm,DTIRatio,Education,EmploymentType,MaritalStatus,HasMortgage,HasDependents,LoanPurpose,HasCoSigner,Default
194568,71ZXWZKXJZ,19,129606,96512,456,94,4,3.98,60,0.33,High School,Unemployed,Married,Yes,No,Auto,Yes,1
194606,ATGK7QKU0S,50,23126,227064,839,8,3,23.36,48,0.33,Master's,Self-employed,Single,No,Yes,Auto,Yes,1
194610,Q72UQZEUJ0,34,111800,195716,839,100,2,18.8,60,0.65,PhD,Self-employed,Single,No,No,Business,Yes,1
194620,E5BUV4T62W,29,70449,198346,761,47,3,21.13,48,0.19,Master's,Part-time,Married,No,Yes,Home,No,1
194626,Z0N3XVDMQV,22,15237,218693,480,30,3,19.29,36,0.54,Bachelor's,Full-time,Single,Yes,Yes,Business,No,1
194641,FEUJV256YP,49,119074,96986,743,82,4,21.33,48,0.61,Master's,Unemployed,Divorced,No,Yes,Auto,Yes,1
194645,U0A6I2C81I,29,18525,198375,524,24,2,4.6,48,0.82,Bachelor's,Part-time,Divorced,Yes,No,Home,Yes,1
194654,BYOAGSW54F,28,112813,78596,759,50,4,24.76,12,0.7,Master's,Unemployed,Single,Yes,No,Education,No,1
194659,M8R78IEDO0,54,127870,113572,596,17,3,23.33,36,0.26,High School,Part-time,Married,No,No,Business,No,1
194663,84IZZ68REV,60,55010,135304,753,10,3,12.2,48,0.24,PhD,Full-time,Married,No,Yes,Auto,No,1
194672,OX8O46YCOL,22,67786,221275,443,14,4,23.15,48,0.2,Bachelor's,Part-time,Married,Yes,Yes,Auto,No,1
194686,OYJ1173KKB,46,19733,144221,554,19,2,22.36,36,0.2,Bachelor's,Unemployed,Married,No,Yes,Home,Yes,1
194696,O0W9X31H8W,31,84837,119888,725,64,1,10.29,48,0.8,Master's,Unemployed,Married,Yes,No,Business,No,1
194698,Q2F5D92EB7,41,18133,138485,398,37,4,16.7,60,0.88,Master's,Self-employed,Single,Yes,Yes,Other,Yes,1
194706,S40CG3EMU7,60,101206,89670,374,108,3,18.48,60,0.61,Bachelor's,Unemployed,Divorced,No,No,Auto,No,1
194731,XUCUMG9OYB,26,43324,175741,353,35,3,19.96,48,0.76,High School,Self-employed,Single,No,Yes,Home,Yes,1
194737,KA2RUPDOSJ,25,139069,76609,424,36,1,8.06,24,0.39,Master's,Part-time,Divorced,No,Yes,Education,Yes,1
194749,6QBCKYDDNR,51,75753,155767,560,74,4,17.8,48,0.76,PhD,Unemployed,Divorced,No,Yes,Other,No,1
194784,XTBSA3TFEL,34,85153,100377,805,56,2,13.76,60,0.46,PhD,Self-employed,Married,No,No,Business,No,1
194785,58ZQGOYG70,22,31739,14803,499,39,4,24.87,12,0.62,Master's,Part-time,Divorced,No,No,Auto,Yes,1
194794,M1K7G9IN80,31,34651,120130,541,37,2,7.93,12,0.5,PhD,Unemployed,Married,No,No,Other,No,1
194795,14J6M48CS5,49,31889,25241,416,23,4,23.15,36,0.33,Bachelor's,Unemployed,Divorced,No,No,Home,Yes,1
194809,6MI4RP6LI1,19,45382,196164,327,27,4,19.03,36,0.56,Master's,Unemployed,Single,Yes,No,Other,Yes,1
194810,H9ILW4CS43,21,98872,84156,570,6,1,4.93,60,0.86,High School,Part-time,Divorced,Yes,Yes,Other,Yes,1
194822,B74ICD8RMQ,43,55018,39990,783,87,1,9.57,60,0.59,PhD,Part-time,Single,Yes,No,Education,No,1
194830,TCZOVF07ZS,26,122827,113056,847,50,1,8.24,24,0.64,Bachelor's,Self-employed,Divorced,Yes,Yes,Business,No,1
194831,FW0EU4N6ZZ,55,39618,112660,358,1,4,4.0,36,0.3,Master's,Unemployed,Single,No,Yes,Business,No,1
194851,QLCCRUYQCN,46,64612,210784,704,77,2,9.2,24,0.2,High School,Part-time,Single,No,Yes,Education,No,1
194854,KCYEZXH5FS,29,120919,241105,412,109,1,23.46,12,0.41,Master's,Unemployed,Married,No,Yes,Auto,Yes,1
194878,XU0F3TRBIA,22,80874,19334,795,90,1,10.59,24,0.26,High School,Part-time,Single,No,Yes,Auto,Yes,1
194892,CQI65RLPWL,34,20375,159867,838,15,1,23.3,36,0.46,Bachelor's,Part-time,Single,No,Yes,Auto,No,1
194904,42ZAKXZD74,59,148589,222978,315,31,1,19.2,36,0.85,Master's,Unemployed,Divorced,Yes,Yes,Auto,Yes,1
194913,H7CEYY3CEM,29,111794,120699,780,17,3,23.38,48,0.85,PhD,Unemployed,Single,No,Yes,Other,Yes,1
194917,DZ2K0ZV220,18,105340,181959,631,40,1,14.77,12,0.82,Master's,Self-employed,Married,Yes,Yes,Other,No,1
194921,DXA1D4MSJV,34,42583,95549,473,34,3,17.12,60,0.12,High School,Full-time,Single,No,Yes,Education,No,1
194922,5L9C2SOJIM,44,56772,182419,303,11,4,15.44,36,0.62,High School,Part-time,Single,Yes,Yes,Business,Yes,1
194923,4Y8C9TV9KY,32,26058,29228,714,110,3,18.37,24,0.77,High School,Part-time,Married,No,No,Auto,No,1
194932,JSFLDPWNRV,46,65538,235650,368,91,1,23.28,48,0.88,Bachelor's,Unemployed,Single,No,Yes,Education,No,1
194934,OPF8PM0WS6,35,105232,46766,570,67,1,13.28,24,0.76,High School,Part-time,Single,Yes,No,Business,No,1
194947,FNRTO1GWET,25,100367,243099,362,114,2,23.67,36,0.24,Master's,Self-employed,Married,No,Yes,Other,Yes,1
194951,G6Y29I601E,26,43919,171034,372,43,1,21.61,36,0.86,High School,Part-time,Single,No,Yes,Education,No,1
194955,DZ7YRK2HZT,47,71766,141316,739,28,4,2.87,60,0.17,PhD,Full-time,Single,No,Yes,Home,No,1
194959,DKTVDD7MCS,23,149745,197432,499,65,3,23.32,48,0.34,High School,Self-employed,Divorced,Yes,No,Education,No,1
195010,9Q1KE24U45,59,66030,222395,302,49,1,17.17,12,0.54,Bachelor's,Full-time,Single,Yes,No,Education,No,1
195037,Z2VYQCBPPD,30,28062,138619,821,58,2,11.03,24,0.17,Bachelor's,Unemployed,Single,No,Yes,Business,No,1
195039,G1ZF0DHBSO,41,115444,70564,422,7,2,21.64,60,0.47,Bachelor's,Unemployed,Divorced,No,No,Other,Yes,1
195042,BISEZ45TTN,32,102627,117183,331,92,2,14.12,48,0.88,High School,Full-time,Divorced,No,No,Education,No,1
195046,54CZKZU4LF,22,108341,112817,328,19,2,14.8,60,0.65,PhD,Unemployed,Single,Yes,Yes,Education,Yes,1
195048,BVPMYEW8R0,62,40917,213120,369,47,3,8.13,60,0.58,Bachelor's,Unemployed,Married,Yes,No,Business,No,1
195054,73VS53BS4J,22,88059,83050,502,116,1,7.02,36,0.77,High School,Self-employed,Divorced,No,Yes,Auto,Yes,1
195055,7XDBCKU4HY,45,78640,100864,620,83,4,13.73,60,0.66,Master's,Full-time,Divorced,No,Yes,Home,Yes,1
195061,PJ11THJFKJ,59,33913,239611,608,102,1,18.62,60,0.65,Master's,Self-employed,Single,Yes,No,Auto,No,1
195069,LV0KDFAJXJ,67,25333,44796,835,2,4,17.03,60,0.82,Master's,Self-employed,Divorced,No,No,Education,No,1
195071,QFGCLQEY0R,49,120352,132997,561,18,1,10.53,36,0.42,Bachelor's,Part-time,Divorced,No,No,Business,Yes,1
195088,QCX439M40J,38,18094,216324,694,56,2,23.39,24,0.19,Bachelor's,Part-time,Divorced,Yes,Yes,Home,No,1
195090,W7Z36HSDQ2,67,44538,191033,582,94,1,18.8,36,0.39,Bachelor's,Full-time,Divorced,Yes,No,Education,No,1
195093,Q24HH6BUE3,50,106074,116636,454,43,4,14.77,24,0.46,Bachelor's,Self-employed,Married,No,No,Auto,No,1
195100,JCDE4SNBU8,36,99644,184389,430,97,3,13.89,24,0.36,Bachelor's,Part-time,Divorced,Yes,No,Business,No,1
195110,RY1XQWYSJ4,32,25909,125498,550,18,3,16.94,48,0.21,High School,Part-time,Divorced,No,No,Education,No,1
195111,DKDG3XD39H,20,30683,224164,338,50,1,23.82,24,0.31,Bachelor's,Unemployed,Married,Yes,No,Education,Yes,1
195116,8EUB4BDSFZ,33,23392,147698,598,116,4,19.5,24,0.47,Bachelor's,Full-time,Single,No,Yes,Education,No,1
195126,8P15J1AILL,48,76959,48875,709,11,3,17.15,12,0.82,Bachelor's,Part-time,Married,No,No,Other,No,1
195137,2Q15XWX9KI,65,17283,176866,414,38,2,13.95,48,0.48,High School,Self-employed,Single,Yes,No,Education,Yes,1
195144,LCUBTIHJ31,55,146238,241049,792,67,4,17.93,12,0.85,High School,Self-employed,Married,Yes,Yes,Auto,Yes,1
195149,UXOXFTSNI0,24,69736,20015,529,91,3,22.27,48,0.88,High School,Part-time,Married,No,No,Education,No,1
195165,CEWR3Z6LI9,62,98590,159308,315,99,4,20.88,48,0.61,High School,Unemployed,Divorced,No,No,Education,No,1
195178,KDMLIQD2DK,31,140225,197697,786,64,2,3.7,60,0.71,High School,Self-employed,Single,No,No,Other,No,1
195193,349RRYGMDQ,28,68677,81792,816,3,2,18.74,36,0.71,Master's,Full-time,Single,Yes,Yes,Education,No,1
195203,MB16EZ5L7X,21,62372,117010,659,51,4,20.32,60,0.54,High School,Self-employed,Divorced,No,Yes,Business,Yes,1
195210,5ZQDT5XX5O,27,133312,182923,342,7,3,16.67,60,0.87,Bachelor's,Self-employed,Divorced,No,No,Other,No,1
195211,SRCXMDU3PX,19,111427,61177,300,77,1,22.69,24,0.46,PhD,Unemployed,Divorced,Yes,No,Education,Yes,1
195228,XACTSHO9HI,38,44687,11645,559,39,3,18.61,24,0.24,Master's,Full-time,Single,No,No,Home,No,1
195236,PYEXDH9QQI,45,39099,180079,501,3,4,18.23,24,0.67,Master's,Part-time,Single,No,Yes,Home,Yes,1
195241,PG5P9N6PBL,35,35562,78637,671,50,1,24.51,48,0.62,Master's,Full-time,Married,Yes,No,Home,Yes,1
195249,W9Y190SPR8,25,115586,94899,423,22,2,13.41,24,0.85,High School,Unemployed,Divorced,Yes,Yes,Auto,No,1
195250,PLJ6SMH8KH,27,117921,202664,817,116,2,18.02,60,0.65,Bachelor's,Self-employed,Married,Yes,Yes,Other,No,1
195258,NXYH9K0P1G,48,102577,138878,490,58,3,16.33,24,0.52,Master's,Self-employed,Divorced,No,Yes,Education,No,1
195275,46JYXT7RET,18,42469,176965,746,39,4,15.42,36,0.57,High School,Full-time,Married,No,No,Business,Yes,1
195285,3GKFA0LLCW,36,105282,57429,399,77,3,22.19,48,0.79,Bachelor's,Part-time,Married,No,Yes,Auto,Yes,1
195300,P0VDEY0VQE,50,36030,242631,604,8,3,14.55,24,0.87,Bachelor's,Full-time,Divorced,No,No,Home,Yes,1
195314,7Q9XXOYY7V,66,102507,208083,814,26,3,14.02,48,0.83,Master's,Part-time,Divorced,No,Yes,Other,No,1
195323,O1LPSPIIO1,31,35827,161682,450,23,1,10.8,48,0.11,Master's,Unemployed,Divorced,Yes,Yes,Other,No,1
195341,M8MVI3YZSN,24,142466,75489,302,0,3,11.51,48,0.12,High School,Self-employed,Married,No,No,Education,Yes,1
195344,X5G9DWIJGY,35,39288,146149,658,39,1,15.01,60,0.86,Master's,Unemployed,Single,No,No,Other,Yes,1
195345,SX4P51EPY9,67,93520,238304,494,118,3,11.6,24,0.27,High School,Self-employed,Single,Yes,No,Home,No,1
195348,QZ2P88RI5N,42,15589,78390,739,89,2,18.69,12,0.64,PhD,Self-employed,Divorced,No,Yes,Other,Yes,1
195349,OQNN75FH0K,56,135139,69038,707,75,4,16.31,60,0.18,Bachelor's,Full-time,Single,Yes,No,Home,No,1
195353,JNKFD8F1IY,38,134499,149842,439,119,4,21.04,36,0.77,Bachelor's,Part-time,Divorced,No,No,Auto,No,1
195358,XYVOZKKZN5,40,67288,197245,506,25,2,15.14,24,0.23,Bachelor's,Unemployed,Single,Yes,Yes,Auto,No,1
195359,IHAAS03ZJ8,28,45978,73454,437,55,4,10.29,48,0.58,High School,Part-time,Single,No,No,Education,No,1
195387,IWM2P2PD6S,20,93929,82790,609,61,3,16.03,48,0.74,Bachelor's,Unemployed,Married,Yes,No,Business,Yes,1
195392,DKIAP595RH,36,33876,216091,407,24,2,17.99,48,0.54,Master's,Part-time,Married,Yes,Yes,Other,No,1
195408,1GIOXM3LTO,28,67541,218384,633,19,3,24.69,48,0.49,Master's,Full-time,Divorced,Yes,No,Auto,No,1
195417,CMAM1IZW2L,24,68327,230389,755,26,1,21.18,24,0.78,High School,Unemployed,Single,Yes,No,Business,Yes,1
195427,RUZXLDHOZN,34,92996,89868,579,36,4,11.82,24,0.16,High School,Unemployed,Divorced,No,Yes,Other,No,1
195439,ND9UT1U2CC,24,32625,188105,741,4,4,2.93,48,0.5,Bachelor's,Unemployed,Single,Yes,No,Education,Yes,1
195445,TPBMQ4ISZY,18,37743,32066,437,59,1,24.67,12,0.29,Bachelor's,Self-employed,Divorced,Yes,No,Business,No,1
195449,PEPC9X93F2,40,17787,122513,650,85,4,9.23,48,0.59,High School,Part-time,Single,Yes,Yes,Home,Yes,1
195491,KJTUZ1RML3,39,40405,138159,315,2,3,17.97,36,0.51,PhD,Full-time,Divorced,Yes,No,Auto,No,1
195499,XIEB8W6M4H,26,34055,151940,699,4,1,4.24,36,0.67,Bachelor's,Self-employed,Married,Yes,No,Other,No,1
195500,LZILH5CBU4,59,85626,58344,702,43,2,12.71,24,0.8,Master's,Self-employed,Single,No,No,Business,Yes,1
195506,KT6G6YIH6D,38,27801,201588,462,19,4,16.11,60,0.67,High School,Unemployed,Single,No,Yes,Home,No,1
195507,K6HDONAC79,23,91822,92980,748,42,3,19.81,12,0.33,PhD,Full-time,Single,No,Yes,Home,Yes,1
195508,5PFXRKB8LL,46,148629,41073,839,16,4,20.07,36,0.41,High School,Unemployed,Single,No,No,Education,No,1
195509,NB2CGWX4SK,39,91258,111904,439,1,4,19.32,60,0.19,High School,Self-employed,Divorced,No,No,Education,No,1
195511,Y1E2CERIUX,54,43670,57010,752,71,3,21.08,36,0.38,High School,Full-time,Single,Yes,No,Other,No,1
195515,JGZ54Z8NOD,44,17294,158838,700,93,3,15.11,48,0.77,High School,Unemployed,Married,Yes,Yes,Education,No,1
195517,54YJS79LTF,52,139104,79752,497,41,2,13.91,36,0.74,High School,Unemployed,Married,No,Yes,Business,No,1
195550,FKUTL6E7FW,19,102124,164451,711,31,1,14.82,60,0.71,High School,Part-time,Single,No,Yes,Home,Yes,1
195551,QTET4T5378,53,131800,118351,350,17,1,22.54,36,0.51,PhD,Full-time,Single,No,Yes,Business,No,1
195559,DMQYH3OT6J,50,92319,176329,704,39,4,21.81,60,0.3,PhD,Unemployed,Divorced,Yes,Yes,Auto,Yes,1
195560,OLPMTUHH36,34,121308,173603,521,63,3,24.37,60,0.27,PhD,Self-employed,Single,No,Yes,Other,Yes,1
195582,DROJM1JGJS,44,30029,143183,304,92,2,23.39,12,0.26,Master's,Part-time,Divorced,Yes,Yes,Home,Yes,1
195586,TG5IUYFC5S,32,41733,160577,719,59,4,17.64,36,0.12,Bachelor's,Unemployed,Married,No,No,Home,Yes,1
195605,L9E5XJA5HY,20,31819,49819,304,0,3,3.19,60,0.37,Bachelor's,Self-employed,Divorced,Yes,No,Other,No,1
195616,LK2A7J3VIX,50,90724,210600,400,69,1,13.6,60,0.24,Bachelor's,Self-employed,Divorced,Yes,No,Auto,No,1
195618,N233R9XFJW,18,141341,78008,833,50,3,18.67,36,0.39,Master's,Unemployed,Divorced,No,No,Business,No,1
195619,YFTL3GZLN5,29,76193,203236,693,112,2,8.12,12,0.76,PhD,Part-time,Single,No,No,Auto,Yes,1
195628,DCNBB2SNXF,24,54157,35602,549,64,1,10.33,48,0.37,Bachelor's,Full-time,Single,Yes,No,Education,Yes,1
195636,KF6RX9XXJI,27,135208,78677,838,22,4,8.68,60,0.86,PhD,Full-time,Single,No,No,Auto,No,1
195637,6ZFCVOTA1A,47,16198,157818,763,2,3,8.84,12,0.79,Master's,Full-time,Single,No,Yes,Business,Yes,1
195642,9AS40A95KT,38,54607,105179,376,29,3,17.06,36,0.8,PhD,Part-time,Divorced,Yes,Yes,Business,No,1
195644,40ETOXSOCQ,47,99615,133589,364,7,1,22.25,12,0.6,Master's,Self-employed,Single,No,No,Home,No,1
195648,8JHXXMXMEH,29,56994,153138,500,74,2,12.44,24,0.18,High School,Part-time,Married,Yes,Yes,Other,No,1
195661,YCLUILNQAW,33,23792,165416,706,5,3,7.15,60,0.29,PhD,Self-employed,Married,No,Yes,Education,No,1
195663,VCO9RG5JDN,36,142285,152522,570,72,4,22.72,24,0.61,Master's,Unemployed,Single,Yes,Yes,Education,No,1
195664,WVFIZR3UJD,27,132563,181909,842,22,1,13.09,12,0.53,PhD,Part-time,Single,No,No,Business,Yes,1
195675,2Z6GZPTUBX,33,94565,146039,480,43,2,6.48,36,0.59,High School,Self-employed,Single,No,No,Home,Yes,1
195677,RT4J6JC1GE,35,110557,166876,318,21,2,17.37,36,0.49,PhD,Full-time,Divorced,No,Yes,Home,No,1
195695,OBWJ4CK497,46,101043,213472,301,28,1,24.82,24,0.67,Bachelor's,Unemployed,Divorced,No,No,Auto,Yes,1
195708,36ZKBCTIZT,35,63325,91378,809,10,4,3.55,12,0.7,High School,Unemployed,Married,Yes,No,Other,Yes,1
195710,EA8WQCTR2Y,56,34320,210212,512,30,4,16.95,48,0.71,Master's,Self-employed,Single,Yes,No,Business,No,1
195717,NW6EJL7W32,38,141070,177313,519,59,1,7.74,36,0.63,High School,Part-time,Divorced,Yes,No,Business,Yes,1
195721,JSPRP6YSLP,38,129969,49531,374,28,2,3.86,12,0.3,High School,Self-employed,Single,No,No,Education,No,1
195722,5OMU7TJS8U,38,143800,212531,315,3,3,22.68,60,0.16,PhD,Self-employed,Single,Yes,Yes,Other,No,1
195729,F2AMQJ7GKQ,31,68240,119014,676,35,2,12.31,60,0.56,Bachelor's,Self-employed,Divorced,Yes,Yes,Auto,Yes,1
195739,4XRULOYSQ1,25,101599,209731,674,107,2,13.78,36,0.72,PhD,Unemployed,Single,No,Yes,Home,No,1
195769,KM2XD8H5M8,40,46396,98790,603,49,3,9.78,36,0.52,Bachelor's,Self-employed,Single,Yes,Yes,Education,No,1
195772,S4S3XHNU3U,19,87236,133088,757,90,3,16.98,48,0.42,PhD,Unemployed,Single,Yes,Yes,Auto,No,1
195778,K43QDX9EIH,23,105369,79079,401,105,1,22.59,60,0.18,Master's,Unemployed,Single,No,No,Other,No,1
195780,GU5IQCAKPT,29,137728,82268,625,8,4,24.98,60,0.45,Master's,Unemployed,Single,No,No,Business,Yes,1
195786,HGCPLU49VY,27,31485,241065,702,31,4,13.43,48,0.52,Master's,Part-time,Single,Yes,No,Auto,No,1
195794,HTC1EOCPSL,53,129681,249499,670,42,3,16.42,60,0.21,Master's,Part-time,Single,Yes,No,Home,Yes,1
195802,DDTQW5JJWH,38,35721,235481,725,17,2,15.9,36,0.44,Bachelor's,Part-time,Single,No,Yes,Other,No,1
195806,PGFYE2GAFB,19,37752,224345,410,3,3,13.66,12,0.77,Bachelor's,Self-employed,Married,No,No,Business,No,1
195834,YNERG6XTJF,67,49414,107889,423,7,1,21.73,24,0.22,Master's,Unemployed,Married,Yes,No,Education,Yes,1
195842,PRVU0OQPW6,30,123995,125836,340,20,3,20.65,24,0.65,Master's,Part-time,Married,No,No,Auto,Yes,1
195844,NP990THAHR,45,119743,21552,836,22,2,18.72,24,0.29,PhD,Unemployed,Married,Yes,Yes,Business,No,1
195845,GLCJL9BP95,21,131034,118913,395,10,1,12.46,12,0.82,Bachelor's,Unemployed,Divorced,No,No,Home,No,1
195848,H1OSYAZJHK,28,107844,183616,657,22,1,5.53,12,0.62,Master's,Unemployed,Single,Yes,Yes,Business,No,1
195865,C834X4PU6Y,20,140488,127333,483,108,4,16.91,36,0.28,Bachelor's,Self-employed,Divorced,No,No,Home,No,1
195869,GVTCRTY9LC,32,29074,183053,807,26,4,7.02,24,0.29,High School,Self-employed,Single,Yes,No,Education,Yes,1
195871,C0D2YOGCLB,49,132449,135553,725,49,1,17.51,36,0.59,Bachelor's,Part-time,Married,Yes,Yes,Business,No,1
195875,R71D1YYTKE,60,115650,88912,432,19,2,24.77,12,0.31,High School,Unemployed,Married,Yes,No,Home,Yes,1
195876,6QHQYMI2AD,65,103439,159092,607,93,1,20.96,12,0.67,Master's,Self-employed,Married,No,Yes,Other,No,1
195877,7O1VM3WIA2,34,111005,183251,358,13,1,23.19,24,0.55,Master's,Unemployed,Divorced,No,No,Other,No,1
195882,Y4V1EO6YHP,52,19358,211240,325,106,4,3.51,12,0.75,PhD,Unemployed,Single,Yes,No,Education,Yes,1
195892,LNJ57PQPV6,21,149311,64971,370,109,3,24.88,60,0.66,High School,Full-time,Divorced,No,No,Education,No,1
195912,P2U4E7777D,31,108158,30403,572,24,2,24.37,36,0.33,High School,Self-employed,Married,Yes,Yes,Education,No,1
195913,RG5PMVGPPW,63,64576,87698,589,107,4,13.37,36,0.78,Master's,Self-employed,Single,No,Yes,Business,Yes,1
195922,JPOTUC13T0,60,53459,176220,559,38,4,3.96,60,0.13,Master's,Unemployed,Divorced,No,Yes,Business,No,1
195923,IUASJZCGR7,25,75331,221860,690,20,1,9.04,48,0.49,Bachelor's,Unemployed,Divorced,No,Yes,Auto,No,1
195924,MF3GM5HNM6,22,129398,148781,833,93,3,16.84,48,0.8,Bachelor's,Part-time,Divorced,Yes,Yes,Other,No,1
195933,LX8YAE2GOU,44,133378,18821,334,21,3,19.82,12,0.31,Bachelor's,Unemployed,Married,Yes,No,Education,No,1
195935,XZM3YNYTEY,26,117501,247565,665,85,3,15.25,24,0.21,PhD,Part-time,Divorced,Yes,No,Auto,Yes,1
195939,WG8LSXWMYY,27,68108,205332,416,44,2,16.15,24,0.9,PhD,Unemployed,Divorced,Yes,No,Auto,Yes,1
195975,69HYQ5U8IB,69,65168,125653,847,9,1,19.88,48,0.8,PhD,Unemployed,Divorced,Yes,Yes,Home,No,1
195985,RKCM85H1TX,26,22336,233312,838,40,2,24.96,36,0.29,Master's,Full-time,Single,Yes,Yes,Home,No,1
195997,FB5CTNBTOB,50,132486,127372,742,1,2,2.84,60,0.44,Bachelor's,Unemployed,Divorced,Yes,Yes,Auto,Yes,1
196000,AFRPXMN8SC,35,125262,35749,447,21,3,24.61,60,0.5,Master's,Self-employed,Divorced,No,Yes,Education,Yes,1
196015,USF9PAZQL0,53,138852,204178,618,0,4,8.63,24,0.56,High School,Unemployed,Married,No,Yes,Other,No,1
196024,EZKLR9Y8AB,33,35355,32621,374,117,2,15.18,60,0.73,Master's,Part-time,Married,No,Yes,Auto,No,1
196026,OWF95G1XZT,18,129470,87073,483,42,4,24.79,60,0.89,High School,Unemployed,Divorced,Yes,No,Other,Yes,1
196031,76CQJ02EBK,69,54464,144397,488,117,2,15.35,36,0.3,Master's,Self-employed,Married,Yes,No,Home,No,1
196037,5H37IEQ1YO,35,60293,74733,618,37,1,22.29,12,0.16,PhD,Part-time,Single,No,No,Home,No,1
196039,XLPESP0F1P,54,35778,242324,461,12,4,9.48,48,0.46,PhD,Self-employed,Divorced,Yes,Yes,Other,Yes,1
196072,012A30DOFW,21,49190,134327,315,95,3,9.8,60,0.89,PhD,Part-time,Single,No,Yes,Business,No,1
196076,7QD3VGHWR6,42,31706,240403,508,41,4,12.82,60,0.61,PhD,Full-time,Married,Yes,No,Education,Yes,1
196079,Q8HS5KLD1R,33,16958,181492,547,32,4,7.89,60,0.38,PhD,Unemployed,Divorced,No,No,Home,Yes,1
196090,4BI99W6S63,28,139100,197859,780,1,2,20.41,12,0.88,PhD,Unemployed,Single,Yes,No,Home,Yes,1
196091,C5BD6NM8W8,32,71278,127690,457,20,3,19.66,48,0.23,High School,Full-time,Divorced,No,Yes,Education,No,1
196094,UO5DDXDLMM,65,145113,215553,657,50,4,18.14,12,0.45,High School,Part-time,Divorced,Yes,Yes,Home,No,1
196105,RWRLIJXXBX,31,56640,123835,605,4,1,13.36,48,0.33,High School,Part-time,Divorced,Yes,Yes,Other,No,1
196112,7DDX7OS0Y5,24,75146,109361,789,8,3,3.85,24,0.26,PhD,Self-employed,Married,No,No,Other,No,1
196113,RNL3BCMLD0,37,68110,213698,310,12,4,21.55,36,0.48,Master's,Full-time,Married,No,No,Business,No,1
196131,UXJOLXRW2G,36,62597,27686,561,11,2,3.11,36,0.53,Master's,Unemployed,Married,No,Yes,Business,No,1
196138,GDXJ1JTFFL,50,129011,51335,458,103,2,16.16,60,0.41,PhD,Unemployed,Divorced,Yes,No,Education,No,1
196143,KKIWAVBE8X,30,24512,220870,730,56,3,10.43,24,0.78,PhD,Self-employed,Single,No,No,Other,No,1
196151,ULLS7QNVXX,20,84958,151407,585,54,4,9.01,36,0.69,High School,Unemployed,Single,Yes,No,Education,Yes,1
196188,OWG8LHJAMB,46,18962,151068,552,80,2,19.64,48,0.21,PhD,Unemployed,Single,Yes,Yes,Other,No,1
196190,GCT4VER75A,63,107830,83558,323,29,2,19.24,36,0.67,Master's,Full-time,Married,Yes,Yes,Home,No,1
196199,27R0KU4Z3B,68,141790,235067,634,0,3,12.98,36,0.79,PhD,Self-employed,Married,No,Yes,Auto,No,1
196207,WWFOPIV1V6,57,79609,244589,808,41,3,21.36,48,0.88,Bachelor's,Self-employed,Married,No,No,Education,Yes,1
196227,EKO2IPGY23,43,95709,45861,582,5,4,16.81,36,0.64,High School,Part-time,Divorced,No,Yes,Other,No,1
196229,0M3F2U5LU0,65,18871,239921,595,68,1,20.46,48,0.45,Bachelor's,Part-time,Married,Yes,Yes,Auto,Yes,1
196236,VXF7HITBQS,21,30478,99819,400,14,3,21.34,24,0.26,High School,Unemployed,Married,Yes,No,Business,Yes,1
196242,8WX36KTT3A,22,107634,131183,575,19,3,7.24,36,0.9,Master's,Part-time,Divorced,Yes,No,Auto,No,1
196250,OZDP067J2P,20,26695,171529,386,52,4,24.77,24,0.23,Bachelor's,Part-time,Married,No,Yes,Home,No,1
196253,23UYNT8VG8,37,16204,247104,538,41,3,15.18,24,0.52,Bachelor's,Part-time,Single,No,Yes,Business,No,1
196263,ZPSL2ZHW3W,61,17019,182115,811,105,4,8.96,12,0.55,Master's,Unemployed,Married,No,No,Auto,Yes,1
196266,80MHF9GI3B,21,21218,84756,305,6,4,18.5,60,0.16,Bachelor's,Unemployed,Single,No,No,Business,No,1
196268,V9LOFQB6AX,28,24677,157867,586,79,2,3.12,60,0.85,Bachelor's,Unemployed,Married,Yes,No,Business,No,1
196295,EYJ7IRGAW3,68,99097,10966,701,61,2,16.85,12,0.58,Bachelor's,Unemployed,Divorced,Yes,No,Home,Yes,1
196297,JQPJG6YY32,43,64680,128991,770,48,2,22.16,48,0.87,Bachelor's,Part-time,Married,Yes,No,Other,Yes,1
196301,PF5Q381PF8,38,76076,47981,467,39,4,11.4,36,0.21,High School,Full-time,Single,Yes,No,Home,No,1
196312,YRBA8YN6JZ,33,20537,160208,398,1,2,8.07,24,0.85,Master's,Part-time,Divorced,No,Yes,Other,Yes,1
196313,UX9CAO6MBH,23,57791,237708,575,96,4,23.79,24,0.58,High School,Unemployed,Divorced,Yes,Yes,Education,Yes,1
196329,CY9I51VNH3,41,24849,246658,732,102,4,11.33,36,0.26,Bachelor's,Unemployed,Divorced,No,Yes,Business,No,1
196330,C53QN0UGL3,61,111350,81426,513,118,4,24.81,48,0.22,PhD,Full-time,Single,Yes,Yes,Education,Yes,1
196345,F2L3FVJJWW,34,47653,226179,332,22,4,19.45,60,0.45,High School,Unemployed,Married,Yes,Yes,Auto,No,1
196358,39TO1I5PHY,35,83353,211970,586,117,2,17.02,24,0.11,Bachelor's,Unemployed,Single,Yes,No,Business,No,1
196363,TL2OHVH93T,28,129232,77300,630,38,4,21.24,36,0.24,Bachelor's,Self-employed,Married,No,Yes,Business,Yes,1
